timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
79422801,0,1200.0,0.25787,0.0169484,0.546335,0.0,0,0,0,0,1,0,1,1,0,1,36
80005708,80004714,800000.0,1.0,0.13883,22.0171,0.0,255,0,6,4,4,5,0,0,1,1,41
80432057,0,1200.0,0.25787,0.0168441,0.298239,0.0,0,0,0,0,1,0,1,1,0,1,36
81004918,81004452,800000.0,1.0,0.161543,22.3159,0.0,255,0,6,4,4,5,0,0,1,1,41
81435280,0,1200.0,0.25787,0.0169713,0.451236,0.0,0,0,0,0,1,0,1,1,0,1,36
82005705,81004452,800000.0,1.0,0.138729,22.3683,0.0,255,0,6,4,4,5,0,0,1,1,41
82012109,82011066,800000.0,1.0,0.138729,22.3683,0.0,255,0,6,4,4,5,0,0,1,1,41
82437955,0,1200.0,0.25787,0.016931,0.574659,0.0,0,0,0,0,1,0,1,1,0,1,36
83014298,83011644,800000.0,1.0,0.138817,22.016,0.0,255,0,6,4,4,5,0,0,1,1,41
83442320,0,1200.0,0.25787,0.0169255,0.380326,0.0,0,0,0,0,1,0,1,1,0,1,36
84005140,84002907,800000.0,1.0,0.138467,21.9585,0.0,255,0,6,4,4,5,0,0,1,1,41
84442807,0,1200.0,0.25787,0.0169902,0.370785,0.0,0,0,0,0,1,0,1,1,0,1,36
85009300,85007137,800000.0,1.0,0.138869,22.0242,0.0,255,0,6,4,4,5,0,0,1,1,41
85452868,0,1200.0,0.25787,0.0168307,0.342555,0.0,0,0,0,0,1,0,1,1,0,1,36
86008130,86004574,800000.0,1.0,0.13891,22.0308,0.0,255,0,6,4,4,5,0,0,1,1,41
86455865,0,1200.0,0.25787,0.0169503,0.734846,0.0,0,0,0,0,1,0,1,1,0,1,36
87010354,86004574,800000.0,1.0,0.161951,22.0383,0.0,255,0,6,4,4,5,0,0,1,1,41
87013541,87013481,800000.0,1.0,0.161951,22.0383,0.0,255,0,6,4,4,5,0,0,1,1,41
87460827,0,1200.0,0.25787,0.0169152,0.415915,0.0,0,0,0,0,1,0,1,1,0,1,36
88004084,88003155,800000.0,1.0,0.138993,22.0439,0.0,255,0,6,4,4,5,0,0,1,1,41
88466141,0,1200.0,0.25787,0.01691,0.32129,0.0,0,0,0,0,1,0,1,1,0,1,36
89003909,89002915,800000.0,1.0,0.138797,22.0567,0.0,255,0,6,4,4,5,0,0,1,1,41
89474120,0,1200.0,0.25787,0.0168707,0.488258,0.0,0,0,0,0,1,0,1,1,0,1,36
90005369,90002804,800000.0,1.0,0.138802,22.0126,0.0,255,0,6,4,4,5,0,0,1,1,41
90480920,0,1200.0,0.25787,0.0168823,0.542219,0.0,0,0,0,0,1,0,1,1,0,1,36
91001340,91001193,800000.0,1.0,0.138814,22.0155,0.0,255,0,6,4,4,5,0,0,1,1,41
91487965,0,1200.0,0.25787,0.0168786,0.404093,0.0,0,0,0,0,1,0,1,1,0,1,36
92004554,92003931,800000.0,1.0,0.138662,21.9914,0.0,255,0,6,4,4,5,0,0,1,1,41
92493705,0,1200.0,0.25787,0.016903,0.379819,0.0,0,0,0,0,1,0,1,1,0,1,36
93006783,92003931,800000.0,1.0,0.161619,21.9931,0.0,255,0,6,4,4,5,0,0,1,1,41
93015107,93012562,800000.0,1.0,0.161619,21.9931,0.0,255,0,6,4,4,5,0,0,1,1,41
93496769,0,1200.0,0.25787,0.0169481,0.375848,0.0,0,0,0,0,1,0,1,1,0,1,36
93998848,93998418,800000.0,1.0,0.138849,22.02,0.0,255,0,6,4,4,5,0,0,1,1,41
94502326,0,1200.0,0.25787,0.0169073,0.737954,0.0,0,0,0,0,1,0,1,1,0,1,36
95001534,93998418,800000.0,1.0,0.138893,22.026,0.0,255,0,6,4,4,5,0,0,1,1,41
95023335,95021933,800000.0,1.0,0.138893,22.026,0.0,255,0,6,4,4,5,0,0,1,1,41
95509765,0,1200.0,0.25787,0.0168732,0.298755,0.0,0,0,0,0,1,0,1,1,0,1,36
96009206,96007200,800000.0,1.0,0.138812,22.173,0.0,255,0,6,4,4,5,0,0,1,1,41
96513708,0,1200.0,0.25787,0.0169333,0.490071,0.0,0,0,0,0,1,0,1,1,0,1,36
97007976,97005184,800000.0,1.0,0.138625,21.9845,0.0,255,0,6,4,4,5,0,0,1,1,41
97516538,0,1200.0,0.25787,0.0169591,0.300276,0.0,0,0,0,0,1,0,1,1,0,1,36
98007331,98004508,800000.0,1.0,0.138451,21.957,0.0,255,0,6,4,4,5,0,0,1,1,41
98521707,0,1200.0,0.25787,0.0169055,0.636441,0.0,0,0,0,0,1,0,1,1,0,1,36
99010334,98004508,800000.0,1.0,0.161832,22.0212,0.0,255,0,6,4,4,5,0,0,1,1,41
99018851,99015895,800000.0,1.0,0.161832,22.0212,0.0,255,0,6,4,4,5,0,0,1,1,41
99527320,0,1200.0,0.25787,0.0169051,0.444506,0.0,0,0,0,0,1,0,1,1,0,1,36
100017726,100017128,800000.0,1.0,0.138858,22.0204,0.0,255,0,6,4,4,5,0,0,1,1,41
100535782,0,1200.0,0.25787,0.0168579,0.343108,0.0,0,0,0,0,1,0,1,1,0,1,36
101005703,101005147,800000.0,1.0,0.138656,22.0115,0.0,255,0,6,4,4,5,0,0,1,1,41
101536428,0,1200.0,0.25787,0.0169884,0.300795,0.0,0,0,0,0,1,0,1,1,0,1,36
