timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
815045654,0.132912,-0.157192,0.505252
815067610,0.132912,-0.157192,0.499004
815089594,0.129924,-0.157192,0.499004
815111594,0.129924,-0.160163,0.499004
815133594,0.126937,-0.157192,0.495881
815156740,0.129924,-0.157192,0.495881
815177594,0.132912,-0.157192,0.499004
815200068,0.129924,-0.160163,0.499004
815221595,0.132912,-0.160163,0.495881
815242667,0.132912,-0.160163,0.495881
815264723,0.135899,-0.160163,0.502128
815286667,0.135899,-0.160163,0.495881
815309594,0.138887,-0.160163,0.495881
815331758,0.138887,-0.160163,0.495881
815355735,0.141874,-0.157192,0.499004
815378662,0.138887,-0.157192,0.492757
815400734,0.138887,-0.157192,0.495881
815422655,0.138887,-0.157192,0.499004
815444749,0.138887,-0.157192,0.499004
815466655,0.138887,-0.157192,0.495881
815488049,0.138887,-0.157192,0.499004
815508726,0.138887,-0.154222,0.502128
815530662,0.135899,-0.154222,0.502128
815552744,0.135899,-0.151252,0.499004
815576100,0.135899,-0.154222,0.499004
815596748,0.132912,-0.151252,0.499004
815618655,0.132912,-0.151252,0.499004
815640736,0.129924,-0.151252,0.502128
815664285,0.129924,-0.151252,0.505252
815684725,0.129924,-0.151252,0.505252
815706655,0.129924,-0.154222,0.499004
815728909,0.132912,-0.154222,0.502128
815749645,0.132912,-0.157192,0.502128
815770713,0.129924,-0.157192,0.495881
815791646,0.132912,-0.157192,0.499004
815814661,0.135899,-0.157192,0.502128
815836775,0.132912,-0.157192,0.499004
815858660,0.135899,-0.157192,0.495881
815880856,0.135899,-0.157192,0.502128
815902666,0.135899,-0.157192,0.508375
815923594,0.135899,-0.154222,0.502128
815944827,0.132912,-0.154222,0.499004
815966653,0.135899,-0.154222,0.492757
815988756,0.132912,-0.154222,0.495881
816011594,0.132912,-0.154222,0.499004
816032827,0.129924,-0.151252,0.505252
816053594,0.129924,-0.151252,0.499004
816075594,0.126937,-0.154222,0.495881
816095594,0.123949,-0.154222,0.505252
