timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
792379324,231.428,37.64,98576.0,1.17125
792391333,231.766,37.64,98572.0,1.1712
792401909,231.766,37.64,98572.0,1.1712
792425080,231.597,37.63,98574.0,1.17122
792436729,232.191,37.63,98567.0,1.17114
792447957,231.938,37.63,98570.0,1.17117
792469079,231.597,37.64,98574.0,1.17122
792480138,231.85,37.64,98571.0,1.17119
792491489,231.938,37.64,98570.0,1.17117
792513900,231.938,37.64,98570.0,1.17117
792525586,231.85,37.64,98571.0,1.17119
792535948,232.022,37.64,98569.0,1.17116
792559947,231.681,37.63,98573.0,1.17121
792570886,232.022,37.63,98569.0,1.17116
792581900,232.022,37.63,98569.0,1.17116
792605078,232.022,37.63,98569.0,1.17116
792616461,232.107,37.63,98568.0,1.17115
792627187,232.022,37.63,98569.0,1.17116
792647952,232.363,37.63,98565.0,1.17112
792658935,232.107,37.63,98568.0,1.17115
792669078,232.191,37.63,98567.0,1.17114
792689906,231.681,37.64,98573.0,1.17121
792701666,231.766,37.64,98572.0,1.1712
792711956,231.681,37.64,98573.0,1.17121
792734965,232.022,37.64,98569.0,1.17116
792746459,232.191,37.64,98567.0,1.17114
792756762,231.938,37.64,98570.0,1.17117
792780922,231.766,37.64,98572.0,1.1712
792792806,231.34,37.64,98577.0,1.17126
792804922,231.256,37.64,98578.0,1.17127
792828378,232.022,37.64,98569.0,1.17116
792838466,231.85,37.64,98571.0,1.17119
792848294,232.022,37.64,98569.0,1.17116
792869913,231.766,37.63,98572.0,1.1712
792881610,231.681,37.63,98573.0,1.17121
792892366,231.938,37.63,98570.0,1.17117
792914966,231.512,37.63,98575.0,1.17123
792926465,232.107,37.63,98568.0,1.17115
792937082,231.681,37.63,98573.0,1.17121
792960136,231.938,37.64,98570.0,1.17117
792970527,231.938,37.64,98570.0,1.17117
792981112,231.681,37.64,98573.0,1.17121
793002973,231.766,37.64,98572.0,1.1712
793014460,231.34,37.64,98577.0,1.17126
793025079,231.681,37.64,98573.0,1.17121
793045914,231.597,37.64,98574.0,1.17122
793057611,231.597,37.64,98574.0,1.17122
793069083,231.938,37.64,98570.0,1.17117
793091512,231.766,37.64,98572.0,1.1712
793102527,231.597,37.64,98574.0,1.17122
793113100,231.681,37.64,98573.0,1.17121
793136137,231.171,37.64,98579.0,1.17128
793148032,231.938,37.64,98570.0,1.17117
793158960,231.681,37.64,98573.0,1.17121
793180770,231.766,37.64,98572.0,1.1712
793192756,231.597,37.64,98574.0,1.17122
793202967,231.85,37.64,98571.0,1.17119
793224124,231.766,37.64,98572.0,1.1712
793234530,231.766,37.64,98572.0,1.1712
793245086,231.597,37.64,98574.0,1.17122
793265082,231.597,37.64,98574.0,1.17122
793275546,231.938,37.64,98570.0,1.17117
793285904,232.022,37.64,98569.0,1.17116
793308955,231.428,37.64,98576.0,1.17125
793319574,231.85,37.64,98571.0,1.17119
793329901,231.938,37.64,98570.0,1.17117
793352514,232.107,37.65,98568.0,1.17115
793362461,231.766,37.65,98572.0,1.1712
793372859,231.85,37.65,98571.0,1.17119
793393081,231.938,37.64,98570.0,1.17117
793403520,232.022,37.64,98569.0,1.17116
793413138,231.512,37.64,98575.0,1.17123
793437166,231.256,37.65,98578.0,1.17127
793449647,231.681,37.65,98573.0,1.17121
793461289,231.766,37.65,98572.0,1.1712
793482346,231.766,37.64,98572.0,1.1712
793493880,231.681,37.64,98573.0,1.17121
793505080,231.681,37.64,98573.0,1.17121
793526970,232.022,37.65,98569.0,1.17116
793538460,231.766,37.65,98572.0,1.1712
793549548,231.85,37.65,98571.0,1.17119
793569080,231.428,37.64,98576.0,1.17125
793581299,231.766,37.64,98572.0,1.1712
793592535,231.681,37.64,98573.0,1.17121
793613907,231.85,37.64,98571.0,1.17119
793624750,231.681,37.64,98573.0,1.17121
793634961,231.938,37.64,98570.0,1.17117
793657085,231.681,37.64,98573.0,1.17121
793667528,231.938,37.64,98570.0,1.17117
793677941,231.85,37.64,98571.0,1.17119
793701778,232.022,37.64,98569.0,1.17116
793713951,231.938,37.64,98570.0,1.17117
793726038,232.191,37.64,98567.0,1.17114
793750076,232.107,37.64,98568.0,1.17115
793762013,232.107,37.64,98568.0,1.17115
793774128,232.619,37.64,98562.0,1.17108
793797945,231.766,37.64,98572.0,1.1712
793809940,232.022,37.64,98569.0,1.17116
793821778,232.191,37.64,98567.0,1.17114
793845674,232.363,37.63,98565.0,1.17112
793857937,232.278,37.63,98566.0,1.17113
793869694,232.363,37.63,98565.0,1.17112
793889901,231.938,37.63,98570.0,1.17117
793902009,232.447,37.63,98564.0,1.1711
793913388,232.107,37.63,98568.0,1.17115
793934967,231.681,37.63,98573.0,1.17121
793945958,231.512,37.63,98575.0,1.17123
793955958,231.766,37.63,98572.0,1.1712
793977375,231.597,37.64,98574.0,1.17122
793988461,231.681,37.64,98573.0,1.17121
793999163,231.681,37.64,98573.0,1.17121
794019973,231.171,37.64,98579.0,1.17128
794031204,232.107,37.64,98568.0,1.17115
794041628,231.681,37.64,98573.0,1.17121
794062076,232.363,37.64,98565.0,1.17112
794073922,232.363,37.64,98565.0,1.17112
794085647,232.619,37.64,98562.0,1.17108
794109730,232.363,37.63,98565.0,1.17112
794122059,231.85,37.63,98571.0,1.17119
794133931,232.191,37.63,98567.0,1.17114
794157961,232.191,37.64,98567.0,1.17114
794169984,232.278,37.64,98566.0,1.17113
794182158,232.107,37.64,98568.0,1.17115
794201917,231.85,37.64,98571.0,1.17119
794213927,232.022,37.64,98569.0,1.17116
794225376,232.447,37.64,98564.0,1.1711
794246966,231.85,37.63,98571.0,1.17119
794257930,232.278,37.63,98566.0,1.17113
794267944,232.022,37.63,98569.0,1.17116
794290388,231.85,37.63,98571.0,1.17119
794302453,231.85,37.63,98571.0,1.17119
794313088,231.85,37.63,98571.0,1.17119
794335949,231.938,37.63,98570.0,1.17117
794347563,232.788,37.63,98560.0,1.17106
794359162,233.042,37.63,98557.0,1.17102
794381113,232.96,37.64,98558.0,1.17103
