timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
813889857,813887864,1200.0,0.366756,0.13515,0.845684,0.0,255,0,6,4,0,0,0,1,1,1,36
814885206,814884842,1200.0,0.366756,0.112456,0.975286,0.0,255,0,6,4,0,0,0,1,1,1,36
815812943,815811611,1200.0,0.366756,0.135735,1.17471,0.0,255,0,6,4,0,0,0,1,1,1,36
816813077,815811611,1200.0,0.366756,0.112564,0.853694,0.0,255,0,6,4,0,0,0,1,1,1,36
816883232,816882681,1200.0,0.366756,0.112564,0.853694,0.0,255,0,6,4,0,0,0,1,1,1,36
817870885,817865652,1200.0,0.366756,0.0897202,0.85932,0.0,255,0,6,4,0,0,0,1,1,1,36
818811768,818806755,1200.0,0.366756,0.134652,1.44553,0.0,255,0,6,4,0,0,0,1,1,1,36
819817778,818806755,1200.0,0.366756,0.138725,1.21959,0.0,255,0,6,4,0,0,0,1,1,1,36
819879744,819871655,1200.0,0.366756,0.138725,1.21959,0.0,255,0,6,4,0,0,0,1,1,1,36
820859753,820853385,1200.0,0.366756,0.112324,1.16996,0.0,255,0,6,4,0,0,0,1,1,1,36
821867642,820853385,1200.0,0.366756,0.135297,0.891368,0.0,255,0,6,4,0,0,0,1,1,1,36
822009760,822007694,1200.0,0.366756,0.135297,0.891368,0.0,255,0,6,4,0,0,0,1,1,1,36
822934847,822930664,1200.0,0.366756,0.112402,0.930051,0.0,255,0,6,4,0,0,0,1,1,1,36
823848876,823848670,1200.0,0.366756,0.089331,1.2149,0.0,255,0,6,4,0,0,0,1,1,1,36
824849072,823848670,1200.0,0.366756,0.135448,0.891367,0.0,255,0,6,4,0,0,0,1,1,1,36
824949780,824944780,1200.0,0.366756,0.135448,0.891367,0.0,255,0,6,4,0,0,0,1,1,1,36
825910031,825903661,1200.0,0.366756,0.111883,0.926749,0.0,255,0,6,4,0,0,0,1,1,1,36
826823724,826823559,1200.0,0.366756,0.13507,1.16895,0.0,255,0,6,4,0,0,0,1,1,1,36
