timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
813091029,32767,32767,32767,32767,32767,32767,32767
813094996,32767,32767,32767,32767,-66,32767,32767
813098997,32767,32767,32767,32767,32767,32767,32767
813102997,32767,32767,32767,32767,32767,32767,32767
813106996,32767,32767,32767,32767,32767,-83,32767
813111029,32767,32767,32767,32767,32767,32767,32767
813115006,32767,32767,32767,32767,-51,32767,32767
813118997,32767,32767,32767,32767,32767,32767,32767
813122996,32767,32767,32767,32767,32767,32767,32767
813126996,32767,32767,32767,32767,-53,-62,32767
813131029,32767,32767,32767,32767,32767,32767,32767
813134996,32767,32767,32767,32767,32767,32767,32767
813138996,32767,32767,32767,32767,-59,32767,32767
813142996,32767,32767,32767,32767,32767,32767,32767
813147012,32767,32767,32767,32767,32767,32767,32767
813151029,32767,32767,32767,32767,32767,-68,32767
813154997,32767,32767,32767,32767,32767,32767,32767
813158996,32767,32767,32767,32767,-40,32767,32767
813162996,32767,32767,32767,32767,32767,32767,32767
813166996,32767,32767,32767,32767,32767,32767,32767
813171029,32767,32767,32767,32767,-55,-63,32767
813174996,32767,32767,32767,32767,32767,32767,32767
813178996,32767,32767,32767,32767,32767,32767,32767
813182996,32767,32767,32767,32767,-62,32767,32767
813186997,32767,32767,32767,32767,32767,32767,32767
813191029,32767,32767,32767,32767,32767,32767,32767
813194996,32767,32767,32767,32767,32767,-83,32767
813198996,32767,32767,32767,32767,32767,32767,32767
813202996,32767,32767,32767,32767,-50,32767,32767
813206996,32767,32767,-102,32767,32767,32767,32767
813211029,32767,32767,32767,32767,32767,32767,32767
813214996,32767,32767,32767,32767,-53,-62,32767
813218996,32767,32767,32767,32767,32767,32767,32767
813222996,32767,32767,32767,32767,32767,32767,32767
813226996,32767,32767,32767,32767,-68,32767,32767
813231028,32767,32767,32767,32767,32767,32767,32767
813234996,32767,32767,32767,32767,32767,-53,32767
813238996,32767,32767,32767,32767,32767,32767,32767
813242996,32767,32767,32767,32767,32767,32767,32767
813247796,32767,32767,32767,32767,-66,32767,32767
813251796,32767,32767,32767,32767,32767,32767,32767
813255797,32767,32767,32767,32767,-42,-50,32767
813259796,32767,32767,32767,32767,32767,32767,32767
813263796,32767,32767,32767,32767,32767,32767,32767
813267797,32767,32767,32767,32767,-48,32767,32767
813271796,32767,32767,32767,32767,32767,32767,32767
813275799,32767,32767,32767,32767,32767,32767,32767
813279796,32767,32767,32767,32767,32767,-62,32767
813283797,32767,32767,32767,32767,32767,32767,32767
813287796,32767,32767,32767,32767,32767,32767,32767
813291796,32767,32767,32767,32767,-72,32767,32767
813295796,32767,32767,32767,32767,32767,32767,32767
813299796,32767,32767,32767,32767,-53,-62,32767
813303808,32767,32767,32767,32767,32767,32767,32767
813307796,32767,32767,32767,32767,32767,32767,32767
813311796,32767,32767,32767,32767,-66,32767,32767
813315796,32767,32767,32767,32767,32767,32767,32767
813319796,32767,32767,32767,32767,32767,-51,32767
813323796,32767,32767,32767,32767,32767,32767,32767
813327796,32767,32767,32767,32767,32767,32767,32767
813331796,32767,32767,32767,32767,-58,32767,32767
813335797,32767,32767,32767,32767,32767,32767,32767
813339796,32767,32767,32767,32767,32767,32767,32767
813343796,32767,32767,32767,32767,-66,-82,32767
813347797,32767,32767,32767,32767,32767,32767,32767
813351797,32767,32767,32767,32767,-48,32767,32767
813355796,32767,32767,32767,32767,32767,32767,32767
813359796,32767,32767,32767,32767,32767,32767,32767
813363796,32767,32767,32767,32767,32767,-70,32767
813367796,32767,32767,32767,32767,32767,32767,32767
813371796,32767,32767,32767,32767,32767,32767,32767
813375801,32767,32767,32767,32767,-67,32767,32767
813379797,32767,32767,32767,32767,32767,32767,32767
813383796,32767,32767,32767,32767,32767,32767,32767
