timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1990771520,40.8102744902,-77.8706374428,344.173,-0.0,0.305626,-0.0294284,-0.0145682,-1.05466,4.48028,5.05851,0.0,2,0,0,0
1990975205,40.8102731109,-77.8706369069,344.219,-0.0,0.299543,-0.133634,-0.124481,-1.03572,4.47284,5.05138,0.0,2,0,0,0
1991175971,40.810271592,-77.8706367348,344.261,-0.0,0.284192,-0.207024,-0.0864843,-1.03107,4.46243,5.05603,0.0,2,0,0,0
1991379958,40.810270277,-77.8706365055,344.291,-0.0,0.275531,-0.254582,-0.00258866,-1.03424,4.45075,5.04886,0.0,2,0,0,0
1991583970,40.8102690361,-77.870635649,344.321,-0.0,0.296421,-0.268542,0.0627678,-1.0421,4.44199,5.05352,0.0,2,0,0,0
1991787951,40.8102677234,-77.8706349995,344.327,-0.0,0.286985,-0.272316,0.103308,-1.04998,4.43273,5.05832,0.0,2,0,0,0
1991988063,40.8102662589,-77.8706349583,344.336,-0.0,0.270223,-0.265724,0.151438,-1.05561,4.42101,5.05096,0.0,2,0,0,0
1992192215,40.8102647366,-77.8706349241,344.333,-0.0,0.217725,-0.235773,0.203882,-1.04925,4.41197,5.05575,0.0,2,0,0,0
1992396337,40.8102631171,-77.8706348459,344.307,-0.0,0.177951,-0.166419,0.267558,-1.02389,4.40276,5.04872,0.0,2,0,0,0
1992596001,40.8102618486,-77.8706343194,344.276,-0.0,0.120187,-0.085702,0.229808,-1.00272,4.39368,5.05318,0.0,2,0,0,0
1992800061,40.8102607779,-77.8706334938,344.262,-0.0,0.0894709,-0.00384289,0.114157,-0.98577,4.38492,5.05811,0.0,2,0,0,0
1993003997,40.8102599829,-77.8706327391,344.259,-0.0,0.0452116,0.0204075,0.149507,-0.973887,4.37384,5.05078,0.0,2,0,0,0
1993207992,40.8102591685,-77.8706321439,344.242,-0.0,0.0221095,0.033272,0.23196,-0.966184,4.3633,5.05547,0.0,2,0,0,0
1993407958,40.8102585425,-77.8706314279,344.21,-0.0,0.00683023,0.0409681,0.283982,-0.962342,4.35363,5.04846,0.0,2,0,0,0
1993612244,40.8102579419,-77.8706306116,344.166,-0.0,0.0167552,0.0480751,0.224099,-0.959921,4.34397,5.05283,0.0,2,0,0,0
1993815956,40.8102572829,-77.8706298189,344.157,-0.0,0.0207181,0.0484964,0.104271,-0.958854,4.33564,5.05768,0.0,2,0,0,0
