timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
2428109281,-0.014142,-0.0732255,-0.0489308,0.0,0.998999,-0.00795953,-0.0364199,-0.0247047,0.566264,-1.0,1,0,0,0,0,0,0
2428213531,0.000483062,-0.0794081,-0.049468,0.0,0.998906,-0.000740416,-0.0396874,-0.0247024,0.566265,-1.0,1,0,0,0,0,0,0
2428313485,9.01044e-06,-0.0791578,-0.0494492,0.0,0.998911,-0.000973717,-0.0395566,-0.0247025,0.565037,-1.0,1,0,0,0,0,0,0
2428413176,1.16231e-07,-0.0817207,-0.0494489,0.0,0.99886,-0.00100981,-0.0408365,-0.0247013,0.558478,-1.0,1,0,0,0,0,0,0
2428517322,-4.52234e-09,-0.0821358,-0.0494488,0.0,0.998851,-0.00101499,-0.0410438,-0.0247011,0.557576,-1.0,1,0,0,0,0,0,0
2428617560,-1.18337e-10,-0.0821464,-0.0494488,0.0,0.998851,-0.00101512,-0.0410491,-0.0247011,0.556602,-1.0,1,0,0,0,0,0,0
2428721651,1.3142e-13,-0.0821457,-0.0494488,0.0,0.998851,-0.00101511,-0.0410488,-0.0247011,0.556626,-1.0,1,0,0,0,0,0,0
2428821299,-0.0185365,-0.0688633,-0.0488103,0.0,0.999059,-0.0100999,-0.0341871,-0.0247062,0.556378,-1.0,1,0,0,0,0,0,0
2428921397,-0.0312616,-0.0550059,-0.0485888,0.0,0.999194,-0.0162876,-0.0271085,-0.0247095,0.536791,-1.0,1,0,0,0,0,0,0
2429025639,-0.0310932,-0.0527385,-0.0486287,0.0,0.999226,-0.0161769,-0.0259774,-0.0247103,0.515555,-1.0,1,0,0,0,0,0,0
2429125192,-0.0310881,-0.0512375,-0.0486522,0.0,0.999246,-0.0161567,-0.0252273,-0.0247108,0.515659,-1.0,1,0,0,0,0,0,0
2429226204,-0.0313927,-0.0500522,-0.048663,0.0,0.999258,-0.0162949,-0.0246313,-0.0247111,0.515663,-1.0,1,0,0,0,0,0,0
2429330066,-0.0325568,-0.0507705,-0.0486221,0.0,0.99924,-0.0168846,-0.0249761,-0.0247107,0.515663,-1.0,1,0,0,0,0,0,0
2429429133,-0.0341126,-0.0753856,-0.0481623,0.0,0.998839,-0.0179456,-0.0372571,-0.0247008,0.515663,-1.0,1,0,0,0,0,0,0
2429533770,-0.0341191,-0.0930697,-0.0478598,0.0,0.998467,-0.0181483,-0.0460902,-0.0246916,0.512533,-1.0,1,0,0,0,0,0,0
2429634352,-0.0354919,-0.107844,-0.047533,0.0,0.998085,-0.0189948,-0.0534512,-0.0246821,0.486747,-1.0,1,0,0,0,0,0,0
2429733345,-0.0474834,-0.10253,-0.047012,0.0,0.9981,-0.0249058,-0.0506569,-0.0246825,0.481919,-1.0,1,0,0,0,0,0,0
2429837277,-0.0619487,-0.0821564,-0.0469019,0.0,0.998373,-0.0318973,-0.0403101,-0.0246892,0.481677,-1.0,1,0,0,0,0,0,0
2429937623,-0.0653601,-0.0744104,-0.0470151,0.0,0.99847,-0.0335165,-0.036399,-0.0246916,0.480699,-1.0,1,0,0,0,0,0,0
2430037279,-0.0618656,-0.0925184,-0.046584,0.0,0.998148,-0.0319629,-0.0454885,-0.0246837,0.479466,-1.0,1,0,0,0,0,0,0
2430141181,-0.0836619,-0.136566,-0.0437239,0.0,0.996496,-0.0432016,-0.0672421,-0.0246428,0.479526,-1.0,1,0,0,0,0,0,0
2430241573,-0.129021,-0.14019,-0.0403777,0.0,0.995175,-0.0657054,-0.0685795,-0.0246102,0.480357,-1.0,1,0,0,0,0,0,0
