timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
79464201,0.935971,-0.0174811,-0.00148999,-0.35164,-0.0843475,-0.274996,-0.0664997,-0.882797,-1.68008,-2.59231,-1.54295e-05,4.1289e-06,2.73298e-05,-6.56017e-06,-0.000137512,0.000812077,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,3.91051e-08,0.000129937,0.00859668,6.69962e-06,4.65345e-05,4.65598e-05,5.21475e-05,0.343137,0.34487,0.0390523,6.95451,7.00609,0.761389,1.83696e-11,1.83431e-11,2.9948e-11,1.01618e-06,1.01924e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.73639,0.872576,0.070788,0.0,0.0016923,0.0333433,0.0,0.0,0.0,-0.000281,568,0,0,165,0,0,0,0
79664236,0.935878,-0.0150535,0.00446379,-0.351975,-0.0673875,-0.218265,0.014365,-0.786991,-1.50964,-2.69433,-1.54708e-05,4.12234e-06,2.7296e-05,3.17142e-05,-0.000141522,0.000822926,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,3.80163e-08,0.000130127,0.00925176,6.66306e-06,4.57999e-05,4.57941e-05,5.16829e-05,0.324756,0.325896,0.0364057,6.55264,6.59508,0.681398,1.84462e-11,1.84202e-11,2.96559e-11,9.93275e-07,9.96541e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.62598,0.825468,0.0066112,0.0,0.00155517,0.054457,0.0,0.0,0.0,-0.000246,568,0,0,165,0,0,0,0
79868144,0.935788,-0.0136559,0.0112123,-0.352121,-0.107327,-0.161996,-0.0258948,-0.754676,-1.4487,-2.69545,-1.54869e-05,4.11345e-06,2.73718e-05,4.87847e-05,-0.000144962,0.000822001,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,3.64556e-08,0.000156882,0.00989107,6.62484e-06,4.56133e-05,4.55843e-05,5.12818e-05,0.32409,0.324897,0.0382685,6.62492,6.66487,0.73505,1.85389e-11,1.85131e-11,2.93779e-11,9.82507e-07,9.85894e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.64552,0.857351,0.00688356,0.0,0.00149196,0.054457,0.0,0.0,0.0,-0.000338,568,0,0,165,0,0,0,0
80072152,0.935881,-0.0155769,0.00716058,-0.351898,-0.143581,-0.116389,-0.0958563,-0.729054,-1.38012,-2.70682,-1.55093e-05,4.11386e-06,2.72239e-05,6.5053e-05,-0.00014739,0.000822087,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,2.79766e-08,0.000150216,0.0105221,6.59235e-06,4.54395e-05,4.53949e-05,5.0979e-05,0.322786,0.323287,0.0401217,6.67196,6.7092,0.790654,1.86266e-11,1.86012e-11,2.91453e-11,9.72051e-07,9.75539e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.65803,0.889187,0.0392769,0.0,0.00142321,0.054457,0.0,0.0,0.0,-0.00033,568,0,0,165,0,0,0,0
80276154,0.935903,-0.015142,0.00486636,-0.351898,-0.180275,-0.0651027,-0.157639,-0.717472,-1.30781,-2.82885,-1.55298e-05,4.11489e-06,2.7151e-05,7.99632e-05,-0.00014765,0.000833238,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,2.65981e-08,0.000129209,0.0100132,6.54975e-06,4.53169e-05,4.52552e-05,5.05783e-05,0.322669,0.322895,0.0375155,6.75224,6.78695,0.710123,1.87191e-11,1.86938e-11,2.88813e-11,9.62474e-07,9.65962e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.67956,0.842688,0.00166048,0.0,0.00134044,0.0514859,0.0,0.0,0.0,-0.000328,568,0,0,165,0,0,0,0
80476197,0.935911,-0.00974851,-0.00242966,-0.352092,-0.184839,-0.0240851,-0.206158,-0.705617,-1.23151,-2.86498,-1.55483e-05,4.11261e-06,2.70718e-05,9.36571e-05,-0.000150495,0.000833098,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,2.96585e-08,0.000130372,0.00949226,6.51979e-06,4.52149e-05,4.51152e-05,5.02869e-05,0.321812,0.321791,0.039346,6.80691,6.83894,0.763924,1.88065e-11,1.87816e-11,2.86613e-11,9.53165e-07,9.56723e-07,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.69403,0.874028,0.0354813,0.0,0.00126751,0.0514859,0.0,0.0,0.0,-0.000285,568,0,0,165,0,0,0,0
80680177,0.935822,-0.017707,0.00449889,-0.352,-0.192106,0.0223055,-0.251996,-0.653784,-1.07789,-2.9458,-1.55813e-05,4.10563e-06,2.70439e-05,0.000117936,-0.000155769,0.000836499,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,2.71842e-08,0.000131676,0.00932482,6.48967e-06,4.4719e-05,4.46185e-05,4.98783e-05,0.306104,0.305796,0.036696,6.42348,6.44919,0.684093,1.88774e-11,1.88535e-11,2.84071e-11,9.35789e-07,9.3938e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.58785,0.827099,0.0479727,0.0,0.00111537,0.018839,0.0,0.0,0.0,-0.000325,568,0,0,165,0,0,0,0
80884267,0.936144,-0.0129133,0.00160296,-0.351375,-0.204102,0.0552737,-0.21775,-0.64981,-1.00128,-2.99361,-1.56036e-05,4.11192e-06,2.67728e-05,0.000128744,-0.000158119,0.000837308,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,2.46923e-08,0.000129871,0.00952773,6.43323e-06,4.46837e-05,4.45499e-05,4.95283e-05,0.305767,0.305282,0.0385718,6.49504,6.51845,0.738135,1.89671e-11,1.89437e-11,2.81649e-11,9.27729e-07,9.31343e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.60742,0.859148,0.0885688,0.0,0.00103846,0.018839,0.0,0.0,0.0,-0.000215,568,0,0,165,0,0,0,0
81088158,0.936507,-0.0188532,0.000424916,-0.350143,-0.216056,0.0723413,-0.152667,-0.647788,-0.925438,-3.02994,-1.56282e-05,4.12243e-06,2.63733e-05,0.000138808,-0.000160778,0.000838686,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,1.88351e-08,0.000102342,0.00913539,6.39576e-06,4.46324e-05,4.44947e-05,4.92805e-05,0.304546,0.303915,0.040437,6.54123,6.56227,0.794149,1.90514e-11,1.90286e-11,2.79628e-11,9.1992e-07,9.23543e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.61988,0.89115,0.129974,0.0,0.000960593,0.018839,0.0,0.0,0.0,-0.000324,568,0,0,165,0,0,0,0
81288320,0.936979,-0.0190535,-0.0042289,-0.348841,-0.22098,0.0974862,0.0400011,-0.647803,-0.852393,-3.02083,-1.56542e-05,4.13681e-06,2.58149e-05,0.000147988,-0.000164052,0.000838722,0.162714,0.00244353,0.45469,-0.0331507,0.00982669,0.000443574,0.0,0.0,0.0,1.6569e-08,9.0298e-05,0.0078177,6.33972e-06,4.46234e-05,4.44648e-05,4.89101e-05,0.303358,0.30261,0.0377057,6.59705,6.61581,0.710798,1.91361e-11,1.91137e-11,2.77281e-11,9.12722e-07,9.16306e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,3.63495,0.843089,0.136821,0.0,0.000892849,0.00941652,0.0,0.0,0.0,-0.000162,568,0,0,165,0,0,0,0
