timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
346987132,346987132,4609385,19,2,1,156,155,22,19,100,51,68
347979757,347979757,4609385,19,2,1,156,155,22,19,100,51,68
349131376,349131376,4609385,19,2,1,156,155,22,19,100,51,68
349944158,349944158,4609385,19,2,1,156,155,22,19,100,51,68
350965031,350965031,4609385,19,2,1,156,155,22,19,100,51,68
352073019,352073019,4609385,19,2,1,156,155,22,19,100,51,68
353035263,353035263,4609385,19,2,1,156,155,22,19,100,51,68
353953055,353953055,4609385,19,2,1,156,155,22,19,100,51,68
355019154,355019154,4609385,19,2,1,156,155,22,19,100,51,68
356020008,356020008,4609385,19,2,1,156,155,22,19,100,51,68
357149777,357149777,4609385,19,2,1,156,155,22,19,100,51,68
358013489,358013489,4609385,19,2,1,156,155,22,19,100,51,68
359009047,359009047,4609385,19,2,1,156,155,22,19,100,51,68
360086125,360086125,4609385,19,2,1,156,155,22,19,100,51,68
361076024,361076024,4609385,19,2,1,156,155,22,19,100,51,68
361996311,361996311,4609385,19,2,1,156,155,22,19,100,51,68
363063829,363063829,4609385,19,2,1,156,155,22,19,100,51,68
363954107,363954107,4609385,19,2,1,156,155,22,19,100,51,68
364984342,364984342,4609385,19,2,1,156,155,22,19,100,51,68
366059024,366059024,4609385,19,2,1,156,155,22,19,100,51,68
366998305,366998305,4609385,19,2,1,156,155,22,19,100,51,68
367970143,367970143,4609385,19,2,1,156,155,22,19,100,51,68
369120487,369120487,4609385,19,2,1,156,155,22,19,100,51,68
369966097,369966097,4609385,19,2,1,156,155,22,19,100,51,68
370960502,370960502,4609385,19,2,1,156,155,22,19,100,51,68
372054870,372054870,4609385,19,2,1,156,155,22,19,100,51,68
373029856,373029856,4609385,19,2,1,156,155,22,19,100,51,68
373957879,373957879,4609385,19,2,1,156,155,22,19,100,51,68
375054108,375054108,4609385,19,2,1,156,155,22,19,100,51,68
376016238,376016238,4609385,19,2,1,156,155,22,19,100,51,68
377120057,377120057,4609385,19,2,1,156,155,22,19,100,51,68
377977600,377977600,4609385,19,2,1,156,155,22,19,100,51,68
379005840,379005840,4609385,19,2,1,156,155,22,19,100,51,68
380076249,380076249,4609385,19,2,1,156,155,22,19,100,51,68
380995098,380995098,4609385,19,2,1,156,155,22,19,100,51,68
381993474,381993474,4609385,19,2,1,156,155,22,19,100,51,68
383070424,383070424,4609385,19,2,1,156,155,22,19,100,51,68
384061069,384061069,4609385,19,2,1,156,155,22,19,100,51,68
384981017,384981017,4609385,19,2,1,156,155,22,19,100,51,68
386103430,386103430,4609385,19,2,1,156,155,22,19,100,51,68
386970195,386970195,4609385,19,2,1,156,155,22,19,100,51,68
387969016,387969016,4609385,19,2,1,156,155,22,19,100,51,68
389035116,389035116,4609385,19,2,1,156,155,22,19,100,51,68
389959211,389959211,4609385,19,2,1,156,155,22,19,100,51,68
390948197,390948197,4609385,19,2,1,156,155,22,19,100,51,68
392041020,392041020,4609385,19,2,1,156,155,22,19,100,51,68
393024055,393024055,4609385,19,2,1,156,155,22,19,100,51,68
393791220,393024055,393791220,23,3,1,143,129,24,20,95,51,68
394096029,394096029,393791220,23,3,1,143,129,24,20,95,51,68
395002931,395002931,393791220,23,3,1,143,129,24,20,95,51,68
396011003,396011003,393791220,23,3,1,143,129,24,20,95,51,68
397115202,397115202,393791220,23,3,1,143,129,24,20,95,51,68
397973024,397973024,393791220,23,3,1,143,129,24,20,95,51,68
398998110,398998110,393791220,23,3,1,143,129,24,20,95,51,68
400070071,400070071,393791220,23,3,1,143,129,24,20,95,51,68
401025493,401025493,393791220,23,3,1,143,129,24,20,95,51,68
