timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2420358841,32767,32767,32767,32767,32767,-88,32767,32767
2420362841,32767,32767,32767,32767,32767,32767,32767,32767
2420366841,32767,32767,32767,32767,32767,32767,32767,32767
2420370841,32767,32767,32767,32767,32767,-58,32767,32767
2420374841,32767,32767,32767,32767,32767,32767,32767,32767
2420378840,32767,32767,32767,32767,32767,32767,32767,32767
2420382841,32767,32767,-57,32767,32767,32767,32767,32767
2420386841,32767,32767,32767,32767,32767,-68,32767,32767
2420390841,32767,32767,32767,32767,32767,32767,32767,32767
2420394841,32767,32767,32767,32767,32767,32767,32767,32767
2420398841,32767,32767,32767,32767,32767,32767,32767,32767
2420402841,32767,32767,32767,32767,32767,-71,32767,32767
2420406841,32767,32767,32767,32767,32767,32767,32767,32767
2420410841,32767,32767,32767,32767,32767,32767,32767,32767
2420414841,32767,32767,32767,32767,32767,32767,32767,32767
2420418841,32767,32767,32767,32767,32767,-72,32767,32767
2420422841,32767,32767,32767,32767,32767,32767,32767,32767
2420426841,32767,32767,32767,32767,32767,32767,32767,32767
2420430841,32767,32767,32767,32767,32767,32767,32767,32767
2420434841,32767,32767,32767,32767,32767,-72,32767,32767
2420438841,32767,32767,32767,32767,32767,32767,32767,32767
2420442841,32767,32767,32767,32767,32767,32767,32767,32767
2420446841,32767,32767,32767,32767,32767,32767,32767,32767
2420450841,32767,32767,32767,32767,32767,-72,32767,32767
2420454841,32767,32767,32767,32767,32767,32767,32767,32767
2420458841,32767,32767,32767,32767,32767,32767,32767,32767
2420462891,32767,32767,32767,32767,32767,32767,32767,32767
2420466841,32767,32767,32767,32767,32767,-73,32767,32767
2420470841,32767,32767,32767,32767,32767,32767,32767,32767
2420474842,32767,32767,32767,32767,32767,32767,32767,32767
2420478841,32767,32767,32767,32767,32767,32767,32767,32767
2420482841,32767,32767,32767,32767,32767,-72,32767,32767
2420486841,32767,32767,32767,32767,32767,32767,32767,32767
2420490841,32767,32767,32767,32767,32767,32767,32767,32767
2420494841,32767,32767,32767,32767,32767,32767,32767,32767
2420498841,32767,32767,32767,32767,32767,-88,32767,32767
2420502841,32767,32767,32767,32767,32767,32767,32767,32767
2420506842,32767,32767,32767,32767,32767,32767,32767,32767
2420510842,32767,32767,32767,32767,32767,32767,32767,32767
2420514841,32767,32767,32767,32767,32767,-89,32767,32767
2420518840,32767,32767,32767,32767,32767,32767,32767,32767
2420522842,32767,32767,32767,32767,32767,32767,32767,32767
2420526841,32767,32767,32767,32767,32767,32767,32767,32767
2420530841,32767,32767,32767,32767,32767,-87,32767,32767
2420534841,32767,32767,32767,32767,32767,32767,32767,32767
2420538842,32767,32767,32767,32767,32767,32767,32767,32767
2420542841,32767,32767,32767,32767,32767,32767,32767,32767
2420546841,32767,32767,32767,32767,32767,-88,32767,32767
