timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
93908252,0.735949,-0.078085,0.0457617,0.670961,-0.278178,0.0558725,0.335825,-0.0957607,0.0124577,-1.21845,-3.92718e-05,-1.43793e-05,3.64806e-06,-2.20113e-05,-3.23607e-05,0.000691481,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,1.04502e-07,9.39162e-05,0.00197711,1.72936e-05,6.75603e-05,5.47655e-05,2.11185e-05,0.0942062,0.095226,0.0139744,1.12236,1.12333,0.063974,1.37424e-11,1.38755e-11,1.86216e-11,1.18736e-06,1.42162e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.49856,0.252931,0.0531237,0.0,9.18302e-05,0.0117165,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
94117846,0.72568,-0.0476641,0.061668,0.683604,-0.201389,-0.0465707,0.462073,-0.135549,0.0123654,-1.11184,-3.92503e-05,-1.43775e-05,3.50701e-06,-1.91206e-05,-2.72728e-05,0.000685997,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,1.00912e-07,8.84422e-05,0.00212568,1.78187e-05,6.77649e-05,5.46156e-05,2.03941e-05,0.0937975,0.0947901,0.0140651,1.1207,1.12187,0.0641583,1.37349e-11,1.38645e-11,1.86153e-11,1.18636e-06,1.41995e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.49752,0.253295,0.0513835,0.0,0.000134673,0.00342693,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
94315431,0.721506,0.00226902,0.0628441,0.689547,-0.125835,-0.0983871,0.459821,-0.153642,0.00022079,-1.02354,-3.92297e-05,-1.4377e-05,3.41241e-06,-1.81075e-05,-2.87881e-05,0.000687772,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,7.55813e-08,8.57556e-05,0.00203766,1.80241e-05,6.77992e-05,5.45956e-05,1.99652e-05,0.0935785,0.0945854,0.0139224,1.11528,1.11663,0.0640662,1.3723e-11,1.38497e-11,1.86057e-11,1.18461e-06,1.41794e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.49396,0.253113,0.00578777,0.0,0.000153478,0.000720512,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
94524255,0.717286,0.00306753,0.0569707,0.694439,-0.0840659,-0.148319,0.436651,-0.160209,-0.0240418,-0.933046,-3.92128e-05,-1.43738e-05,3.37449e-06,-1.77216e-05,-2.72132e-05,0.000687942,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,5.86374e-08,7.20724e-05,0.00190101,1.81764e-05,6.76821e-05,5.45801e-05,1.96507e-05,0.093603,0.0946199,0.0136973,1.11233,1.11389,0.0641636,1.37099e-11,1.38331e-11,1.85817e-11,1.18215e-06,1.41547e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.49205,0.253305,0.026667,0.0,0.000161185,0.0258552,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
94725823,0.720816,-0.0129525,0.0540086,0.690898,-0.0425927,-0.18791,0.648778,-0.157452,-0.0538301,-0.841213,-3.91987e-05,-1.43719e-05,3.33098e-06,-2.29867e-05,-3.21192e-05,0.00069234,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,4.6373e-08,6.66697e-05,0.0019046,1.79442e-05,6.74335e-05,5.4612e-05,1.98138e-05,0.0928776,0.0937977,0.013517,1.10753,1.10926,0.0640676,1.36973e-11,1.3818e-11,1.8573e-11,1.17883e-06,1.4131e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.48889,0.253116,0.00367759,0.0,0.000158345,0.00367504,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
94923431,0.719308,0.00815874,0.0508892,0.692777,-0.062048,-0.181584,0.689032,-0.149957,-0.0843339,-0.692564,-3.91771e-05,-1.43605e-05,3.30766e-06,-1.58079e-05,-2.77088e-05,0.000689406,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,6.04999e-08,7.42055e-05,0.00187854,1.80324e-05,6.72273e-05,5.45948e-05,1.97026e-05,0.0925751,0.0934662,0.0134007,1.10109,1.10296,0.0638257,1.36798e-11,1.37982e-11,1.85714e-11,1.17491e-06,1.41073e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.4846,0.252637,0.017344,0.0,0.000151,0.0450282,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
95133039,0.719147,0.0467315,0.0247694,0.692842,-0.171329,-0.056834,0.112125,-0.159834,-0.100509,-0.590713,-3.91615e-05,-1.43458e-05,3.40104e-06,-7.56951e-06,-2.1702e-05,0.000685681,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,1.32693e-07,0.000100366,0.00188242,1.80599e-05,6.69103e-05,5.466e-05,1.97348e-05,0.0943878,0.0955806,0.0133067,1.10198,1.10405,0.0641713,1.36725e-11,1.37888e-11,1.85791e-11,1.17046e-06,1.40844e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.48527,0.25332,0.0945801,0.0,0.000159047,0.0301189,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
95330635,0.730048,0.0103558,-0.00357284,0.683308,-0.215109,-0.00601182,-0.544217,-0.183761,-0.0968586,-0.622847,-3.91531e-05,-1.43287e-05,3.64776e-06,2.10324e-06,-1.18067e-05,0.000680612,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,1.12573e-07,9.16341e-05,0.001938,1.73967e-05,6.6722e-05,5.48036e-05,2.01266e-05,0.0963348,0.0978051,0.0130031,1.09943,1.10175,0.0640823,1.36586e-11,1.37732e-11,1.85684e-11,1.16549e-06,1.40623e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.48364,0.253145,0.0706043,0.0,0.000183109,0.0114646,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
95532247,0.735323,-0.0348838,0.0102318,0.676742,-0.191972,0.0412981,-0.688925,-0.202873,-0.0819658,-0.735999,-3.91315e-05,-1.43128e-05,3.78255e-06,1.5631e-05,-4.34822e-06,0.000675303,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,9.1084e-08,8.1983e-05,0.00198368,1.71549e-05,6.63334e-05,5.47906e-05,2.04776e-05,0.0965552,0.098024,0.0128682,1.09585,1.09844,0.0638127,1.36407e-11,1.37532e-11,1.85669e-11,1.1602e-06,1.40414e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.48131,0.252612,0.0331239,0.0,0.000202589,0.0227453,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
95741823,0.724116,-0.0550415,0.0234083,0.687079,-0.195206,-0.00106998,-0.489164,-0.222414,-0.068545,-0.853136,-3.91029e-05,-1.43033e-05,3.73314e-06,2.2625e-05,-4.68734e-07,0.00067215,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,7.78034e-08,7.56407e-05,0.00210992,1.77593e-05,6.60683e-05,5.45573e-05,1.99702e-05,0.0959929,0.0973649,0.012821,1.0983,1.10117,0.0640338,1.3631e-11,1.37412e-11,1.85492e-11,1.1546e-06,1.40211e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,1.48306,0.253049,0.0288515,0.0,0.000223676,0.0048799,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
