timestamp,timestamp_last_valid,channels[0],channels[1],channels[2],channels[3],channels[4],channels[5],channels[6],channels[7],channels[8],channels[9],channels[10],channels[11],channels[12],channels[13],channels[14],channels[15],channels[16],channels[17],frame_drop_count,channel_count,function[0],function[1],function[2],function[3],function[4],function[5],function[6],function[7],function[8],function[9],function[10],function[11],function[12],function[13],function[14],function[15],function[16],function[17],function[18],function[19],function[20],function[21],function[22],function[23],function[24],function[25],function[26],rssi,signal_lost
669902601,0,0.0,-0.0,0.0,1.0,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
669917186,0,0.0,-0.0,0.0,1.0,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
669931706,0,0.0,-0.0,0.0,1.0,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
669946591,0,0.0,-0.0,0.0,1.0,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
669960594,0,0.0,-0.0,0.0,0.987179,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
669975593,0,0.0,-0.0,0.0,0.94359,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
669994904,0,0.0,-0.0,0.0,0.846154,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
670006309,0,0.0,-0.0,0.0,0.720513,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
670022271,0,0.0,-0.0,0.0,0.579487,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
670040602,0,0.0,-0.0,0.0,0.435897,-1.0,-1.0,-1.0,0.00816326,-1.0,-1.0,0.028,0.028,0.028,0.028,0.028,0.028,-1.0,-1.0,0,18,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,255,0
