timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
64429959,5.04023,3.32417,1,1,3,1,1,0,0
64929959,5.01445,3.32256,1,1,3,1,1,0,0
65429986,5.05635,3.329,1,1,3,1,1,0,0
65930002,5.03379,3.32739,1,1,3,1,1,0,0
66429961,5.03701,3.32578,1,1,3,1,1,0,0
66929974,5.04507,3.32739,1,1,3,1,1,0,0
67429960,5.03057,3.32256,1,1,3,1,1,0,0
67929959,5.03379,3.32739,1,1,3,1,1,0,0
68429959,5.03701,3.33384,1,1,3,1,1,0,0
68939960,5.05151,3.32578,1,1,3,1,1,0,0
69439960,5.03057,3.32578,1,1,3,1,1,0,0
69939959,5.04185,3.32417,1,1,3,1,1,0,0
70439959,5.02573,3.32417,1,1,3,1,1,0,0
70939960,5.03057,3.32417,1,1,3,1,1,0,0
71439959,5.04185,3.32578,1,1,3,1,1,0,0
71939959,5.02251,3.32578,1,1,3,1,1,0,0
72939959,5.03218,3.329,1,1,3,1,1,0,0
73439959,5.0354,3.32578,1,1,3,1,1,0,0
73939974,5.03379,3.33223,1,1,3,1,1,0,0
74449959,5.03701,3.32578,1,1,3,1,1,0,0
74949959,5.02734,3.32578,1,1,3,1,1,0,0
75449959,5.04507,3.32739,1,1,3,1,1,0,0
75949988,5.02895,3.32739,1,1,3,1,1,0,0
76450006,5.04668,3.32739,1,1,3,1,1,0,0
76949959,5.05474,3.329,1,1,3,1,1,0,0
77449961,5.03218,3.32578,1,1,3,1,1,0,0
77949973,5.01123,3.32739,1,1,3,1,1,0,0
78449959,5.02573,3.32256,1,1,3,1,1,0,0
78949959,5.03057,3.32578,1,1,3,1,1,0,0
79459960,5.0354,3.32578,1,1,3,1,1,0,0
79959959,5.02734,3.32578,1,1,3,1,1,0,0
80459959,5.03057,3.32739,1,1,3,1,1,0,0
80959959,4.99995,3.32578,1,1,3,1,1,0,0
81459963,5.04346,3.329,1,1,3,1,1,0,0
81959959,5.0499,3.32739,1,1,3,1,1,0,0
82459959,5.06602,3.33062,1,1,3,1,1,0,0
82959962,5.05635,3.33223,1,1,3,1,1,0,0
83459972,5.0354,3.32578,1,1,3,1,1,0,0
83959959,5.02734,3.32578,1,1,3,1,1,0,0
84469960,5.00479,3.32578,1,1,3,1,1,0,0
84969960,5.02895,3.32417,1,1,3,1,1,0,0
85479961,5.03057,3.32739,1,1,3,1,1,0,0
85979959,5.03379,3.33223,1,1,3,1,1,0,0
86479959,5.01445,3.32578,1,1,3,1,1,0,0
86979959,5.06279,3.33062,1,1,3,1,1,0,0
87479959,5.02895,3.32578,1,1,3,1,1,0,0
87979959,5.03379,3.32578,1,1,3,1,1,0,0
88479960,5.03218,3.32739,1,1,3,1,1,0,0
88979962,5.04185,3.329,1,1,3,1,1,0,0
89479959,5.04829,3.32417,1,1,3,1,1,0,0
89979973,5.04023,3.32739,1,1,3,1,1,0,0
90489971,5.02412,3.32739,1,1,3,1,1,0,0
90989959,5.04829,3.329,1,1,3,1,1,0,0
91489959,5.04185,3.329,1,1,3,1,1,0,0
91989959,5.02734,3.32578,1,1,3,1,1,0,0
92489983,5.01123,3.32578,1,1,3,1,1,0,0
92989990,5.0354,3.32578,1,1,3,1,1,0,0
93489980,5.02251,3.32417,1,1,3,1,1,0,0
93989961,5.04507,3.32578,1,1,3,1,1,0,0
94489978,5.03701,3.32578,1,1,3,1,1,0,0
94989965,5.04829,3.32578,1,1,3,1,1,0,0
95499959,5.02734,3.32417,1,1,3,1,1,0,0
95999965,5.02573,3.32578,1,1,3,1,1,0,0
96499959,5.02895,3.32417,1,1,3,1,1,0,0
96999965,5.02895,3.32256,1,1,3,1,1,0,0
97499961,5.02895,3.32578,1,1,3,1,1,0,0
97999960,5.0354,3.32739,1,1,3,1,1,0,0
98499959,5.03862,3.32578,1,1,3,1,1,0,0
98999959,5.04346,3.32578,1,1,3,1,1,0,0
99499959,5.0209,3.32739,1,1,3,1,1,0,0
99999959,5.02734,3.32578,1,1,3,1,1,0,0
100509960,5.01606,3.33062,1,1,3,1,1,0,0
101009987,5.05312,3.32578,1,1,3,1,1,0,0
101509975,5.0209,3.32578,1,1,3,1,1,0,0
102009959,5.04023,3.32578,1,1,3,1,1,0,0
102509959,5.0499,3.32417,1,1,3,1,1,0,0
103009993,5.03379,3.32578,1,1,3,1,1,0,0
103509985,5.03057,3.32578,1,1,3,1,1,0,0
104009962,5.03218,3.32739,1,1,3,1,1,0,0
105019974,5.02734,3.32417,1,1,3,1,1,0,0
105520007,5.02251,3.32578,1,1,3,1,1,0,0
106019959,5.06118,3.32578,1,1,3,1,1,0,0
106529973,5.02251,3.32739,1,1,3,1,1,0,0
107029959,4.99834,3.329,1,1,3,1,1,0,0
107529959,5.02895,3.32578,1,1,3,1,1,0,0
108029959,5.04668,3.32417,1,1,3,1,1,0,0
108529999,5.03701,3.32578,1,1,3,1,1,0,0
109029999,5.03862,3.32739,1,1,3,1,1,0,0
109529963,5.04507,3.32578,1,1,3,1,1,0,0
110029960,5.00317,3.32739,1,1,3,1,1,0,0
110529977,5.03218,3.32578,1,1,3,1,1,0,0
111029959,5.05312,3.329,1,1,3,1,1,0,0
111529962,5.01929,3.32578,1,1,3,1,1,0,0
