timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1758923419,40.8102341981,-77.8706343189,344.412,-0.0,-0.039691,0.310941,-0.16268,0.203841,4.1732,5.05814,0.0,2,0,0,0
1759127176,40.8102333863,-77.8706343433,344.434,-0.0,-0.0842614,0.374326,-0.153941,0.204483,4.17211,5.05106,0.0,2,0,0,0
1759331213,40.8102328989,-77.8706347964,344.452,-0.0,-0.0884913,0.343798,-0.0610013,0.206433,4.16947,5.05556,0.0,2,0,0,0
1759531445,40.8102326815,-77.8706356901,344.461,-0.0,-0.0715383,0.224612,0.0519057,0.205257,4.16676,5.04857,0.0,2,0,0,0
1759731170,40.8102324402,-77.8706370334,344.47,-0.0,-0.0604856,0.080337,0.042952,0.171094,4.16684,5.05299,0.0,2,0,0,0
1759935434,40.8102319041,-77.8706384319,344.487,-0.0,-0.0686646,-0.0364747,-0.104677,0.093173,4.16745,5.05788,0.0,2,0,0,0
1760139419,40.8102312666,-77.8706402086,344.535,-0.0,-0.0986461,-0.183547,-0.299191,-0.0294317,4.16543,5.05074,0.0,2,0,0,0
1760343167,40.8102305505,-77.8706426048,344.613,-0.0,-0.0545508,-0.34949,-0.352865,-0.169999,4.1659,5.05548,0.0,2,0,0,0
1760543171,40.8102296476,-77.8706448112,344.666,-0.0,-0.0593569,-0.439256,-0.161251,-0.300139,4.16532,5.04856,0.0,2,0,0,0
1760747168,40.8102285483,-77.8706467245,344.655,-0.0,-0.0858601,-0.468808,0.078675,-0.406631,4.16497,5.05297,0.0,2,0,0,0
1760951166,40.8102272243,-77.870648311,344.621,-0.0,-0.125637,-0.454244,0.24089,-0.479423,4.166,5.05788,0.0,2,0,0,0
1761155232,40.8102259118,-77.8706495594,344.56,-0.0,-0.160589,-0.417914,0.115489,-0.524215,4.16522,5.05075,0.0,2,0,0,0
1761355246,40.8102247139,-77.8706505466,344.547,-0.0,-0.183245,-0.380899,0.0161332,-0.54415,4.16428,5.05528,0.0,2,0,0,0
1761559196,40.8102235387,-77.8706512926,344.528,-0.0,-0.212185,-0.344335,-0.0306626,-0.547676,4.16388,5.04858,0.0,2,0,0,0
1761763228,40.8102223995,-77.8706517722,344.484,-0.0,-0.220801,-0.31953,-0.0511707,-0.538855,4.16302,5.05297,0.0,2,0,0,0
1761967201,40.8102212267,-77.8706520933,344.473,-0.0,-0.24479,-0.286197,-0.0440031,-0.528698,4.16322,5.05784,0.0,2,0,0,0
1762167170,40.8102200773,-77.870652339,344.432,-0.0,-0.278813,-0.301636,0.0922114,-0.531375,4.16251,5.0507,0.0,2,0,0,0
1762371262,40.8102188354,-77.8706525162,344.375,-0.0,-0.305984,-0.298512,0.20815,-0.553,4.16248,5.05524,0.0,2,0,0,0
1762575215,40.8102174103,-77.8706527636,344.324,-0.0,-0.341356,-0.312941,0.213325,-0.582044,4.16498,5.0486,0.0,2,0,0,0
1762775216,40.8102162058,-77.870652934,344.281,-0.0,-0.359506,-0.287697,0.192615,-0.603471,4.16352,5.05295,0.0,2,0,0,0
