timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
113563388,-0.0428956,-0.00760337,-0.0851205,0.954607,0.14557,-0.052087,-0.254603,1.0,0.0,0.0,0.0,0
113596304,-0.0711065,-0.00823234,-0.0748428,0.954315,0.144978,-0.0520053,-0.256045,1.0,0.0,0.0,0.0,0
113624192,-0.111292,0.0156866,-0.0632063,0.954189,0.143915,-0.0515516,-0.257204,1.0,0.0,0.0,0.0,0
113656207,-0.128285,-0.00968515,-0.115829,0.954077,0.142268,-0.0507608,-0.258689,1.0,0.0,0.0,0.0,0
113688146,-0.161904,0.0339697,-0.0513116,0.954077,0.140316,-0.0496243,-0.259973,1.0,0.0,0.0,0.0,0
113720173,-0.172845,0.0448959,-0.105019,0.954057,0.13834,-0.0483595,-0.261341,1.0,0.0,0.0,0.0,0
113752162,-0.106892,0.044511,-0.0685284,0.95402,0.13664,-0.0469636,-0.26262,1.0,0.0,0.0,0.0,0
113784256,-0.0635181,0.0729363,-0.0853886,0.953959,0.135298,-0.045531,-0.263788,1.0,0.0,0.0,0.0,0
113816305,-0.082484,0.0624582,-0.0766996,0.953834,0.134192,-0.0442164,-0.265023,1.0,0.0,0.0,0.0,0
113848171,-0.0830511,0.0446578,-0.0918985,0.953694,0.133193,-0.0429843,-0.266234,1.0,0.0,0.0,0.0,0
113876300,-0.11645,0.00672864,-0.0811425,0.953582,0.131958,-0.0420719,-0.267392,1.0,0.0,0.0,0.0,0
113908148,-0.253585,-0.0287644,-0.0787991,0.953625,0.129084,-0.0411394,-0.268782,1.0,0.0,0.0,0.0,0
113940255,-0.501512,-0.0541268,-0.0820749,0.95399,0.123019,-0.0400006,-0.270499,1.0,0.0,0.0,0.0,0
113972177,-0.833202,-0.117296,-0.0923916,0.954883,0.112112,-0.0384187,-0.272313,1.0,0.0,0.0,0.0,0
114004331,-1.21216,-0.163164,-0.0403547,0.956181,0.0957576,-0.0359797,-0.274324,1.0,0.0,0.0,0.0,0
114036301,-1.44213,-0.14613,-0.084671,0.95759,0.0745728,-0.0327289,-0.276384,1.0,0.0,0.0,0.0,0
114068182,-1.59525,-0.178058,-0.0561847,0.958758,0.0501195,-0.0288491,-0.27828,1.0,0.0,0.0,0.0,0
114100166,-1.60556,-0.175289,-0.049327,0.95935,0.024513,-0.024608,-0.280074,1.0,0.0,0.0,0.0,0
114128246,-1.52403,-0.119728,-0.0529262,0.959361,0.00297496,-0.0207223,-0.281406,1.0,0.0,0.0,0.0,0
114160166,-1.22226,-0.127611,-0.0525456,0.958855,-0.0184656,-0.0167492,-0.282799,1.0,0.0,0.0,0.0,0
114192242,-0.853477,-0.0475641,-0.0940382,0.958062,-0.034672,-0.0134081,-0.284139,1.0,0.0,0.0,0.0,0
114224549,-0.43879,-0.0143644,-0.0858768,0.957365,-0.0444093,-0.0111758,-0.28523,1.0,0.0,0.0,0.0,0
114256168,-0.0214553,0.00763915,-0.0310161,0.956892,-0.0473729,-0.0103588,-0.286369,1.0,0.0,0.0,0.0,0
114288158,0.328054,0.0369341,-0.0706138,0.956665,-0.0443447,-0.0107984,-0.287593,1.0,0.0,0.0,0.0,0
114320184,0.557836,0.00682325,-0.07934,0.956636,-0.0368112,-0.0124771,-0.28868,1.0,0.0,0.0,0.0,0
114352161,0.66327,-0.0113284,-0.0961253,0.956585,-0.0270008,-0.0150832,-0.28981,1.0,0.0,0.0,0.0,0
114380198,0.594257,-0.0189938,-0.0513833,0.956474,-0.0182919,-0.0178079,-0.2907,1.0,0.0,0.0,0.0,0
114412227,0.487867,-0.0525517,-0.080907,0.95619,-0.00993858,-0.0209117,-0.291828,1.0,0.0,0.0,0.0,0
114444163,0.233262,-0.0506627,-0.0858113,0.955902,-0.00481529,-0.0234518,-0.292708,1.0,0.0,0.0,0.0,0
114476192,-0.0192311,-0.0880714,-0.0472315,0.95554,-0.00365052,-0.0251274,-0.293766,1.0,0.0,0.0,0.0,0
114508161,-0.260145,-0.08987,-0.0522371,0.955255,-0.00639397,-0.0254581,-0.294618,1.0,0.0,0.0,0.0,0
114540265,-0.456309,-0.0570172,0.0119453,0.95494,-0.0123561,-0.024372,-0.295538,1.0,0.0,0.0,0.0,0
114572189,-0.546744,0.0460338,-0.0764553,0.95458,-0.0201494,-0.0220485,-0.296455,1.0,0.0,0.0,0.0,0
114604179,-0.527008,0.0574519,-0.0600103,0.954262,-0.028315,-0.0190085,-0.297019,1.0,0.0,0.0,0.0,0
114632273,-0.474176,0.090677,-0.0395881,0.953859,-0.0345712,-0.0158523,-0.297837,1.0,0.0,0.0,0.0,0
114664304,-0.267288,0.14589,-0.0976572,0.95355,-0.0397622,-0.0124867,-0.298339,1.0,0.0,0.0,0.0,0
114696166,-0.127738,0.113104,0.0627277,0.953318,-0.0423691,-0.00973983,-0.298822,1.0,0.0,0.0,0.0,0
114728205,0.0500947,0.127096,-0.0664673,0.953118,-0.0421261,-0.00799534,-0.299545,1.0,0.0,0.0,0.0,0
114760156,0.223913,0.0314205,0.00597605,0.953146,-0.0394425,-0.00756836,-0.299834,1.0,0.0,0.0,0.0,0
114792211,0.342181,0.0300194,-0.0407064,0.953146,-0.0351019,-0.00834603,-0.300352,1.0,0.0,0.0,0.0,0
114824192,0.336317,-0.0442872,-0.0252818,0.953295,-0.0301144,-0.0102335,-0.300361,1.0,0.0,0.0,0.0,0
