timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
129010476,-0.0430993,-0.00837141,-0.00640245,0.988983,-0.00439858,0.00242647,0.147946,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129043275,0.0676507,-0.00174461,-0.0447488,0.988947,-0.00399791,0.0032108,0.148184,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129071275,-0.00302617,0.0754902,-0.0152203,0.988923,-0.00404263,0.00377627,0.148326,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129103278,0.0353226,0.0741794,0.0524666,0.988875,-0.00365417,0.00408491,0.148648,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129136078,0.034282,-0.0395828,0.029077,0.988827,-0.00379402,0.00336396,0.148982,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129168068,-0.110265,-0.0588999,0.0670782,0.988785,-0.00430886,0.00227581,0.149265,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129200064,-0.0299585,-0.0243384,-0.0494411,0.988752,-0.00389434,0.00153831,0.149508,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129228875,-0.0362725,0.0206054,-0.102092,0.988718,-0.00389646,0.00144461,0.149732,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129260863,0.0115071,0.0232137,0.000671451,0.98867,-0.00386961,0.00209575,0.15004,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129292872,0.14335,0.0821573,-0.0099448,0.98861,-0.00361808,0.00345889,0.150415,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129325664,0.0345267,0.0333014,0.088852,0.98857,-0.00352888,0.00454747,0.150653,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129357682,-0.0363512,0.0077412,0.00881544,0.988577,-0.00341564,0.00521831,0.150585,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
