timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
809837805,809837676,0.0844538,0.0475308,0.000447534,0.161136,0.0,0.0,0.0,-1.0
809938603,809938474,0.0806799,0.0504169,-0.000563943,0.159983,0.0,0.0,0.0,-1.0
810039396,810039264,0.0760826,0.0448208,0.00729293,0.159975,0.0,0.0,0.0,-1.0
810140227,810140087,0.0863318,0.0458321,-0.00147201,0.159975,0.0,0.0,0.0,-1.0
810244996,810244870,0.0883792,0.0482552,-0.00343885,0.161127,0.0,0.0,0.0,-1.0
810345802,810345675,0.0882637,0.0467562,0.00856076,0.161136,0.0,0.0,0.0,-1.0
810446608,810446471,0.0910274,0.0546583,-0.000113062,0.159984,0.0,0.0,0.0,-1.0
810547412,810547270,0.0894235,0.0482393,-0.00447598,0.159975,0.0,0.0,0.0,-1.0
810648228,810648076,0.0876209,0.0450157,0.0118577,0.161127,0.0,0.0,0.0,-1.0
810749013,810748877,0.0923979,0.0483222,0.00370121,0.161136,0.0,0.0,0.0,-1.0
810853811,810853680,0.0894378,0.0468198,-0.00360877,0.163471,0.0,0.0,0.0,-1.0
810954604,810954474,0.0891443,0.0452882,0.00276173,0.165442,0.0,0.0,0.0,-1.0
811055406,811055275,0.0966116,0.0544201,0.00370364,0.192747,0.0,0.0,0.0,-1.0
811156201,811156070,0.0934749,0.039783,0.000428736,0.197219,0.0,0.0,0.0,-1.0
811257023,811256873,0.0924556,0.0436148,0.00194504,0.194615,0.0,0.0,0.0,-1.0
811357800,811357672,0.0981418,0.0434796,0.00696772,0.19479,0.0,0.0,0.0,-1.0
811462601,811462464,0.0884015,0.0360042,0.00353817,0.19479,0.0,0.0,0.0,-1.0
811563403,811563274,0.0995201,0.0464614,0.00719977,0.19479,0.0,0.0,0.0,-1.0
811664202,811664070,0.0991466,0.0560634,-0.000825004,0.19479,0.0,0.0,0.0,-1.0
811765005,811764877,0.103598,0.0579412,-0.00431375,0.19479,0.0,0.0,0.0,-1.0
811865821,811865667,0.0955883,0.0429683,-0.00543203,0.19479,0.0,0.0,0.0,-1.0
811970621,811970472,0.103599,0.0424113,-0.00168417,0.197156,0.0,0.0,0.0,-1.0
812075400,812075274,0.101095,0.0463341,0.00216662,0.198294,0.0,0.0,0.0,-1.0
812176201,812176070,0.0961426,0.0435623,0.00430317,0.201886,0.0,0.0,0.0,-1.0
812276996,812276870,0.0968609,0.0450015,0.00293618,0.201753,0.0,0.0,0.0,-1.0
812377816,812377680,0.0965099,0.0470019,-0.000353252,0.206933,0.0,0.0,0.0,-1.0
812478595,812478463,0.10094,0.0621618,-0.00560494,0.231313,0.0,0.0,0.0,-1.0
812579397,812579271,0.106645,0.0478502,-0.00583791,0.230765,0.0,0.0,0.0,-1.0
812684209,812684075,0.102428,0.0514936,0.00159758,0.230765,0.0,0.0,0.0,-1.0
812785005,812784876,0.0924548,0.0407316,-0.00186556,0.230765,0.0,0.0,0.0,-1.0
